Tipo,Nome del sito,descrizione del sito,indirizzo,info,sito web
VILLE e GIARDINI,Città dei Ragazzi,Villa,"Viale degli Abruzzi, 1D",tel. 091 6714373,
Chiese e Oratori,Cappella dei Falegnami,cappella,Via Maqueda 172,,
VILLE e GIARDINI,Giardino della Zisa,villa,Piazza Guglielmo il Buono,tel. 091 652 0269,
VILLE e GIARDINI,Giardino di Villa Napoli,Villa,Via Francesco Speciale,tel. 328 3605846,
VILLE e GIARDINI,Giardino Inglese,Villa,Viale della Libertà,tel. 091 7406790,www.laludotecadelgiardino.it
Chiese e Oratori,Cappella Palatina,Cappella,Piazza Indipendenza,,www.federicosecondo.org
VILLE e GIARDINI,Orto Botanico,Giardino pubblico,Via Lincoln 2/b,,www.ortobotanico.palermo.it
VILLE e GIARDINI,Parco Ninni Cassarà,parco pubblico,"via E. Basile, via Altofonte (bassa) e Largo Claudio Traina (già Corso Pisani)",,
VILLE e GIARDINI,Parco d'Orleans,Parco,Corso Re Ruggero,tel. 091 7075038,
VILLE e GIARDINI,Villa Filippina,villa pubblica,"Piazza S.Francesco di Paola, 18",,www.villafilippina.it
VILLE e GIARDINI,Villa Garibaldi,Villa pubblica,Piazza Marina,,
VILLE e GIARDINI,Villa Giulia,Villa pubblica,Via Lincoln,tel. 091 7404028,
Chiese e Oratori,Cattedrale,chiesa,Corso Vittorio Emanuele,tel. 329 3977513 (informazioni) - 091 334373 (archivio) ,www.cattedrale.palermo.it 
Chiese e Oratori,Chiesa dei SS. Quaranta Martiri Pisani alla Guilla,chiesa,Piazza dei SS. Quaranta Martiri,tel. 339 1588692 - 329 3977513,
Chiese e Oratori,Chiesa del Monastero delle Cappuccinelle,chiesa,"Via delle Cappuccinelle, 109",tel. 091 6114745 ,
MUSEI E GALLERIE D'ARTE,Cantieri Culturali alla Zisa,Gallerie d'arte,"Via Paolo Gili, 4",tel. 091 6513485,www.cantierizisa.it
Chiese e Oratori,Chiesa del Ss. Salvatore,chiesa,"Corso Vittorio Emanuele, 395",tel. 091 323392,
Chiese e Oratori,Chiesa della Madonna dei Rimedi dei carmelitani Scalzi,chiesa,Piazza Indipendenza ,tel. 091 422473 ,www.carmelitaniscalzidipalermo.com
Chiese e Oratori,Chiesa della Madonna dell'Itria ai Cocchieri,chiesa,"Piazzetta Chiesa Cocchieri, 1 (ang. Via Alloro)",tel. 091 6165848,
MUSEI E GALLERIE D'ARTE,Catacombe dei Cappuccini,Catacombe dei Cappuccini,"Via Cappuccini, 1",tel. 091 6524156 -  329 4150462,http://members.xoom.it/niria_di
Chiese e Oratori,Chiesa della Magione (Ss. Trinità),chiesa,"Piazza Magione, 44",tel. 091 6170596 (Ass.ne Esperanza) - 328 8039833,www.basilicalamagione.diocesipa.it
Chiese e Oratori,Chiesa della Martorana (S.Maria dell'Ammiraglio),chiesa,"Piazza Bellini, 3",tel. 091 6161692,
Chiese e Oratori,Chiesa dell'Immacolata Concezione al Capo,chiesa,Via Porta Carini al Capo,tel: 091 328430 ,www.santippolito.arcidiocesi.palermo.it
Chiese e Oratori,Chiesa di Casa Professa  (Chiesa del Gesù),Chiesa,"Piazza Casa Professa, 21 ",tel. 091 332213 - 334 1879038,www.casaprofessa.blogspot.com
Chiese e Oratori,Chiesa di Maria SS della Mercede al Capo,chiesa,Via Cappuccinelle ang. Piazza Capo ,Chiusa per restauro,
MUSEI E GALLERIE D'ARTE,Catacombe Paleocristiane di Porta d'Ossuna,Catacombe Paleocristiane di Porta d'Ossuna,"Corso Alberto Amedeo, 110/112",tel. 091 546366 (prenotazione visite via fax),
Chiese e Oratori,Chiesa di S. Agostino,chiesa,Via S. Agostino,tel. 091 584632,
Chiese e Oratori,Chiesa di S. Antonio Abate Magno,chiesa,Via Roma 203/A,tel. 091 589940,www.santoantonioabate.diocesipa.it
MUSEI E GALLERIE D'ARTE,Ex Deposito Locomotive S. Erasmo,"Ex Deposito Locomotive S. Erasmo
Galleria d'arte","Via Messina Marine, 32","tel. 091 7308489 - fax 091 7308493	 
Il Sito è visitabile solo in occasione di mostre e/o eventi",
Chiese e Oratori,Chiesa di S. Cataldo,chiesa,"Piazza Bellini, 3 (Cavalieri del Santo Sepolcro)",tel. 091 302667,
Chiese e Oratori,Chiesa di S. Caterina,chiesa,"Piazza Bellini, 2",tel. 338 7228775 - 338 4512011,www.itinerars.it
VILLE e GIARDINI,Villa Igea,dependance albergo,"Salita Belmonte, 43",tel. 091 631 2141,
Chiese e Oratori,Chiesa di S. Chiara,chiesa,"Piazza S. Chiara, 11    ",tel. 091 331141 - 340 9840657 ,
VILLE e GIARDINI,Villa Malfitano,Villa Malfitano  (1885),Via Dante,tel. 091 6820522,www.fondazionewhitaker.it
VILLE e GIARDINI,Villa Niscemi,Villa Niscemi  (XVIII sec.),Piazza Niscemi,tel. 091 7404822,
