COMUNE,NOME,MACRO TIPOLOGIA,SCHEDA,DO_Y,DO_X,
ALGHERO,Alghero,Città e paesi,http://www.comunas.it/xml/comune.php?istat=090003,40.5583876862862,8.31447210344107,
ALGHERO,Base Nautica Usai Srl,Porti,http://www.sardegnaturismo.it/index.php?xsl=5&s=733&v=2&c=&t=1,40.5927419803528,8.28699945427514,
ALGHERO,Bastione della Maddalena,Edifici e strutture antiche,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742,40.5597923291786,8.31445042524444,
ALGHERO,Bastione della Misericordia,Edifici e strutture antiche,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742,40.5562256184693,8.3137559562705,
ALGHERO,Bastione della Salve,Edifici e strutture antiche,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742,40.5599957286733,8.31099833900376,
ALGHERO,Bastione dello Sperone,Edifici e strutture antiche,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742,40.5564382036596,8.31518894000463,
ALGHERO,Bastione del Mirador,Edifici e strutture antiche,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742,40.5592046675201,8.31138471121301,
ALGHERO,Bastione di San Giacomo,Edifici e strutture antiche,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742,40.5569401713912,8.31224052057893,
ALGHERO,Bastione reale,Edifici e strutture antiche,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742,40.5605132827471,8.3108219108441,
ALGHERO,Calabona,Spiagge,http://www.sardegnaturismo.it/index.php?xsl=5&s=705&v=2&c=45&t=1,40.5428681973003,8.32259875707289,
ALGHERO,Cala di Porticciolo,Spiagge,http://www.sardegnaturismo.it/index.php?xsl=5&s=712&v=2&c=45&t=1,40.6434699221551,8.18839380466304,
ALGHERO,Canal dell'Home mort,Spiagge,http://www.sardegnaturismo.it/index.php?xsl=5&s=732&v=2&c=45&t=1,40.5251257156612,8.33039887545004,
ALGHERO,Capo Caccia - Isola Piana,Aree marine protette,http://www.sardegnaturismo.it/index.php?xsl=15&s=20&v=2&c=44&t=1,40.5938868880472,8.19272037659695,
ALGHERO,Casa De Ferrera,Insediamenti antichi,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18209,40.5592125927061,8.3133883062367,
ALGHERO,Casa Doria,Insediamenti antichi,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18219,40.5578012523274,8.31327775882021,
ALGHERO,Cattedrale di Santa Maria,Chiese,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18341,40.5589864099618,8.31266386969228,
ALGHERO,Chiesa del Carmine,Chiese,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=24793,40.5567646031726,8.31284354574261,
ALGHERO,Chiesa della Misericordia,Chiese,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=24796,40.55719234174,8.31441099209894,
ALGHERO,Chiesa del Rosario,Chiese,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=24795,40.5589721421339,8.31304280943086,
ALGHERO,Chiesa di San Francesco,Chiese,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18261,40.5581890480114,8.31384287301644,
ALGHERO,Chiesa di San Michele,Chiese,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18293,40.5565161136483,8.3186428535605,
ALGHERO,Complesso di Palmavera,Edifici e strutture antiche,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=20702,40.5949907253349,8.24282491488224,
ALGHERO,Complesso di Sant'Imbenia,Edifici e strutture antiche,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=20709,40.6184366347339,8.19145537431191,
ALGHERO,Fertilia,Spiagge,http://www.sardegnaturismo.it/index.php?xsl=5&s=748&v=2&c=45&t=1,40.5942592741702,8.29044364875297,
ALGHERO,"Fertilia, citta' di fondazione",Insediamenti antichi,http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=19360,40.5924967830106,8.2837240731323,
