COMUNE;PROVINCIA;REGIONE;NOME;MACRO TIPOLOGIA;TIPOLOGIA;SCHEDA;IDFEATURE;DO_Y;DO_X
ALGHERO;SASSARI;Sardegna;Alghero;Città e paesi;Città;http://www.comunas.it/xml/comune.php?istat=090003;744;40.5583876862862;8.31447210344107
ALGHERO;SASSARI;Sardegna;Base Nautica Usai Srl;Porti;Porto turistico;http://www.sardegnaturismo.it/index.php?xsl=5&s=733&v=2&c=&t=1;1292;40.5927419803528;8.28699945427514
ALGHERO;SASSARI;Sardegna;Bastione della Maddalena;Edifici e strutture antiche;Castelli;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742;795;40.5597923291786;8.31445042524444
ALGHERO;SASSARI;Sardegna;Bastione della Misericordia;Edifici e strutture antiche;Castelli;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742;793;40.5562256184693;8.3137559562705
ALGHERO;SASSARI;Sardegna;Bastione della Salve;Edifici e strutture antiche;Castelli;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742;790;40.5599957286733;8.31099833900376
ALGHERO;SASSARI;Sardegna;Bastione dello Sperone;Edifici e strutture antiche;Castelli;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742;794;40.5564382036596;8.31518894000463
ALGHERO;SASSARI;Sardegna;Bastione del Mirador;Edifici e strutture antiche;Castelli;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742;791;40.5592046675201;8.31138471121301
ALGHERO;SASSARI;Sardegna;Bastione di San Giacomo;Edifici e strutture antiche;Castelli;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742;792;40.5569401713912;8.31224052057893
ALGHERO;SASSARI;Sardegna;Bastione reale;Edifici e strutture antiche;Castelli;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742;789;40.5605132827471;8.3108219108441
ALGHERO;SASSARI;Sardegna;Calabona;Spiagge;Sabbia;http://www.sardegnaturismo.it/index.php?xsl=5&s=705&v=2&c=45&t=1;1827;40.5428681973003;8.32259875707289
ALGHERO;SASSARI;Sardegna;Cala di Porticciolo;Spiagge;Sabbia;http://www.sardegnaturismo.it/index.php?xsl=5&s=712&v=2&c=45&t=1;1826;40.6434699221551;8.18839380466304
ALGHERO;SASSARI;Sardegna;Canal dell'Home mort;Spiagge;Rocce;http://www.sardegnaturismo.it/index.php?xsl=5&s=732&v=2&c=45&t=1;1624;40.5251257156612;8.33039887545004
ALGHERO;SASSARI;Sardegna;Capo Caccia - Isola Piana;Aree marine protette;Aree marine protette;http://www.sardegnaturismo.it/index.php?xsl=15&s=20&v=2&c=44&t=1;357;40.5938868880472;8.19272037659695
ALGHERO;SASSARI;Sardegna;Casa De Ferrera;Insediamenti antichi;Case e palazzi;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18209;1179;40.5592125927061;8.3133883062367
ALGHERO;SASSARI;Sardegna;Casa Doria;Insediamenti antichi;Case e palazzi;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18219;1177;40.5578012523274;8.31327775882021
ALGHERO;SASSARI;Sardegna;Cattedrale di Santa Maria;Chiese;Chiese;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18341;450;40.5589864099618;8.31266386969228
ALGHERO;SASSARI;Sardegna;Chiesa del Carmine;Chiese;Chiese;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=24793;591;40.5567646031726;8.31284354574261
ALGHERO;SASSARI;Sardegna;Chiesa della Misericordia;Chiese;Chiese;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=24796;593;40.55719234174;8.31441099209894
ALGHERO;SASSARI;Sardegna;Chiesa del Rosario;Chiese;Chiese;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=24795;592;40.5589721421339;8.31304280943086
ALGHERO;SASSARI;Sardegna;Chiesa di San Francesco;Chiese;Chiese;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18261;551;40.5581890480114;8.31384287301644
ALGHERO;SASSARI;Sardegna;Chiesa di San Michele;Chiese;Chiese;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18293;550;40.5565161136483;8.3186428535605
ALGHERO;SASSARI;Sardegna;Complesso di Palmavera;Edifici e strutture antiche;Villaggi nuragici;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=20702;840;40.5949907253349;8.24282491488224
ALGHERO;SASSARI;Sardegna;Complesso di Sant'Imbenia;Edifici e strutture antiche;Villaggi nuragici;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=20709;838;40.6184366347339;8.19145537431191
ALGHERO;SASSARI;Sardegna;Fertilia;Spiagge;Sabbia;http://www.sardegnaturismo.it/index.php?xsl=5&s=748&v=2&c=45&t=1;1779;40.5942592741702;8.29044364875297
ALGHERO;SASSARI;Sardegna;Fertilia, citta' di fondazione;Insediamenti antichi;Edifici razionalisti;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=19360;1062;40.5924967830106;8.2837240731323
ALGHERO;SASSARI;Sardegna;Fertilia, ponte romano;Edifici e strutture antiche;Ponti;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=20928;777;40.5958771436355;8.28675181047792
ALGHERO;SASSARI;Sardegna;Foradada;Isole;Isole;http://www.sardegnaturismo.it/index.php?xsl=5&s=3517&v=2&c=58&t=1;919;40.5705133043146;8.15135675538483
ALGHERO;SASSARI;Sardegna;Grotta dei Palombi;Grotte mare;Grotte mare;http://www.sardegnaturismo.it/index.php?xsl=5&v=2&c=2408&c1=2129&t=1&s=3780;706;40.5709022740932;8.15199509512099
ALGHERO;SASSARI;Sardegna;Grotta di Nettuno - Alghero;Grotte mare;Grotte mare;http://www.sardegnaturismo.it/index.php?xsl=5&v=2&c=2408&c1=2129&t=1&s=112;705;40.5650032450397;8.16013191101801
ALGHERO;SASSARI;Sardegna;Grotta Pizzi e Ricami - Alghero;Grotte mare;Grotte mare;http://www.sardegnaturismo.it/index.php?xsl=5&v=2&c=2408&c1=2129&t=1&s=3778;704;40.5622917154701;8.16485318455591
ALGHERO;SASSARI;Sardegna;Il Ttramariglio;Spiagge;Sabbia;http://www.sardegnaturismo.it/index.php?xsl=5&s=661&v=2&c=45&t=1;1898;40.5896100929572;8.16933145585141
ALGHERO;SASSARI;Sardegna;La Dragunara;Spiagge;Sabbia;http://www.sardegnaturismo.it/index.php?xsl=5&s=716&v=2&c=45&t=1;1899;40.575950151774;8.16091756963377
ALGHERO;SASSARI;Sardegna;Las tronas;Spiagge;Rocce;http://www.sardegnaturismo.it/index.php?xsl=5&s=783&v=2&c=45&t=1;1900;40.5505964971475;8.31746250948783
ALGHERO;SASSARI;Sardegna;Lazzaretto;Spiagge;Sabbia;http://www.sardegnaturismo.it/index.php?xsl=5&s=563&v=2&c=45&t=1;1828;40.5824129727373;8.24679170887296
ALGHERO;SASSARI;Sardegna;Le bombarde;Spiagge;Sabbia;http://www.sardegnaturismo.it/index.php?xsl=5&s=565&v=2&c=45&t=1;1829;40.584364667052;8.2580270377658
ALGHERO;SASSARI;Sardegna;Maria Pia;Spiagge;Sabbia;http://www.sardegnaturismo.it/index.php?xsl=5&s=576&v=2&c=45&t=1;1685;40.586102016012;8.30668428173615
ALGHERO;SASSARI;Sardegna;Marina di Alghero;Porti;Porto turistico;http://www.sardegnaturismo.it/index.php?xsl=5&s=736&v=2&c=&t=1;1291;40.5638399166288;8.30699696869808
ALGHERO;SASSARI;Sardegna;Marina di Cala Tramariglio;Porti;Porto turistico;http://www.sardegnaturismo.it/index.php?xsl=5&s=769&v=2&c=46&c1=&t=1;1409;40.5917694924407;8.16842422662599
ALGHERO;SASSARI;Sardegna;Marina di Porto Conte;Porti;Porto turistico;http://www.sardegnaturismo.it/index.php?xsl=5&s=813&v=2&c=46&c1=&t=1;1293;40.5950706826058;8.21174168038562
ALGHERO;SASSARI;Sardegna;Mugoni;Spiagge;Sabbia;http://www.sardegnaturismo.it/index.php?xsl=5&s=592&v=2&c=45&t=1;1686;40.6177522821224;8.2021237576911
ALGHERO;SASSARI;Sardegna;Museo archeologico e storico-etnografico;Museo;Museo;http://www.sardegnacultura.it/j/v/253?s=24629&v=2&c=2487&c1=2126&visb=&t=1;5823;40.6397396891752;8.32428001685634
ALGHERO;SASSARI;Sardegna;Museo diocesano;Museo;Museo;http://www.sardegnacultura.it/j/v/253?s=24613&v=2&c=2487&c1=2126&visb=&t=1;5825;40.5592441919222;8.31310422111883
ALGHERO;SASSARI;Sardegna;Museo naturalistico;Museo;Museo;http://www.sardegnacultura.it/j/v/253?s=24612&v=2&c=2487&c1=2126&visb=&t=1;5824;40.5568384700588;8.31602941218919
ALGHERO;SASSARI;Sardegna;Necropoli di Anghelu Ruju;Spazi sacri e funerari;Necropoli;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=20740;1472;40.6326779738069;8.32633780826689
ALGHERO;SASSARI;Sardegna;Necropoli di Santu Pedru;Spazi sacri e funerari;Domus de janas;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=21684;1450;40.6238990952928;8.40308551907816
ALGHERO;SASSARI;Sardegna;Nuraghe Sant'Imbenia;Edifici e strutture antiche;Villaggi nuragici;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=20709;839;40.6226975242425;8.19668141360846
ALGHERO;SASSARI;Sardegna;Palazzo Civico;Insediamenti antichi;Edilizia civile;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18258;1031;40.5588406840482;8.31415965524791
ALGHERO;SASSARI;Sardegna;Palazzo Lavagna;Insediamenti antichi;Edilizia civile;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18265;1178;40.5595384515757;8.31384516840934
ALGHERO;SASSARI;Sardegna;Palazzo Peretti;Insediamenti antichi;Case e palazzi;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18448;1032;40.5584895170555;8.31474882772265
ALGHERO;SASSARI;Sardegna;Parco Naturale Regionale Porto Conte - Capo Caccia;Parchi;Parchi;http://www.sardegnaturismo.it/index.php?xsl=5&s=5653&v=2&c=&t=1;1269;40.6083922610465;8.2110395658273
ALGHERO;SASSARI;Sardegna;Porto Conte;Foreste;Foreste;http://www.sardegnaturismo.it/index.php?xsl=5&s=3173&v=2&c=3002&t=1;697;40.6159404766322;8.21064081390185
ALGHERO;SASSARI;Sardegna;Porto Conte;Spiagge;Sabbia;http://www.sardegnaturismo.it/index.php?xsl=5&s=609&v=2&c=45&t=1;1780;40.597351863389;8.21864653210776
ALGHERO;SASSARI;Sardegna;Punta negra;Spiagge;Rocce;http://www.sardegnaturismo.it/index.php?xsl=5&s=635&v=2&c=45&t=1;1902;40.5835622970457;8.26614109808351
ALGHERO;SASSARI;Sardegna;San Giovanni;Spiagge;Sabbia;http://www.sardegnaturismo.it/index.php?xsl=5&s=569&v=2&c=45&t=1;1687;40.5735745444723;8.31667685473219
ALGHERO;SASSARI;Sardegna;Scuole elementari del Sacro Cuore;Insediamenti antichi;Edifici storicisti;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=21556;1034;40.5588803687967;8.31674442686944
ALGHERO;SASSARI;Sardegna;Teatro civico;Insediamenti antichi;Edifici storicisti;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=21563;1035;40.5582410535239;8.31306502131799
ALGHERO;SASSARI;Sardegna;Villa di Sant'Imberia;Insediamenti antichi;Insediamenti romani;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=21302;1033;40.6166366915566;8.18969973276699
ALGHERO;SASSARI;Sardegna;Villa Sant'Elia;Insediamenti antichi;Edifici storicisti;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=19368;1204;40.5504413141221;8.31819278641531
ANELA;SASSARI;Sardegna;Anela;Città e paesi;Paese;http://www.comunas.it/xml/comune.php?istat=090004;47;40.4458588229188;9.05403362824461
ANELA;SASSARI;Sardegna;Chiesa di Santa Maria di Mesumundu;Chiese;Chiese;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17747;401;40.4483146281581;9.05909600616755
ANELA;SASSARI;Sardegna;Domus de janas di Sos Furrighesos;Spazi sacri e funerari;Domus de janas;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=20749;1473;40.4805542399671;8.97382999132969
ANELA;SASSARI;Sardegna;Forest'Anela;Foreste;Foreste;http://www.sardegnaturismo.it/index.php?xsl=5&s=3178&v=2&c=3002&t=1;687;40.4560473071856;9.02004151018556
ANELA;SASSARI;Sardegna;Goceano;Monti;Monti;http://www.sardegnaturismo.it/index.php?xsl=5&s=3159&v=2&c=3003&t=1;978;40.462140246805;9.00165334757885
ARDARA;SASSARI;Sardegna;Ardara;Città e paesi;Paese;http://www.comunas.it/xml/comune.php?istat=090005;48;40.6233179262819;8.81061663433001
ARDARA;SASSARI;Sardegna;Chiese Santa Maria del Regno;Chiese;Chiese;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17761;461;40.6241044741756;8.81033721974815
BANARI;SASSARI;Sardegna;Banari;Città e paesi;Paese;http://www.comunas.it/xml/comune.php?istat=090007;49;40.5712168250066;8.69912185319582
BANARI;SASSARI;Sardegna;Museo d'arte moderna;Museo;Museo;http://www.sardegnacultura.it/j/v/253?s=22506&v=2&c=2487&c1=2126&visb=&t=1;5809;40.5730345012767;8.69726875950829
BENETUTTI;SASSARI;Sardegna;Benetutti;Città e paesi;Paese;http://www.comunas.it/xml/comune.php?istat=090008;50;40.4551305377457;9.17207852879186
BENETUTTI;SASSARI;Sardegna;Dolmen di Monte Maone;Monumenti megalitici;Dolmen;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=21437;991;40.4459362921472;9.16884271528927
BENETUTTI;SASSARI;Sardegna;Domus de janas di Molimentos;Spazi sacri e funerari;Domus de janas;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=21447;1477;40.4436633116037;9.16172143552966
BENETUTTI;SASSARI;Sardegna;La Collezione Soddu Tanda;Museo;Museo;http://www.sardegnacultura.it/j/v/253?s=28539&v=2&c=2487&c1=2126&visb=&t=1;5907;40.4566747876361;9.170798149938
BESSUDE;SASSARI;Sardegna;Bessude;Città e paesi;Paese;http://www.comunas.it/xml/comune.php?istat=090010;52;40.5535846004094;8.73132556509586
BONNANARO;SASSARI;Sardegna;Bonnanaro;Città e paesi;Paese;http://www.comunas.it/xml/comune.php?istat=090011;53;40.5338537806434;8.76246341347699
BONNANARO;SASSARI;Sardegna;Domus de janas di Corona Moltana;Spazi sacri e funerari;Domus de janas;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=21685;1478;40.5237140799821;8.78307682261149
BONO;SASSARI;Sardegna;Bono;Città e paesi;Paese;http://www.comunas.it/xml/comune.php?istat=090012;54;40.4146531075593;9.03045566454099
BONO;SASSARI;Sardegna;Monte Pisanu;Foreste;Foreste;http://www.sardegnaturismo.it/index.php?xsl=5&s=3177&v=2&c=3002&t=1;695;40.4401295770683;8.9738313302696
BONO;SASSARI;Sardegna;Sos Nibberos;Aree protette;Monumento naturale;http://www.sardegnaturismo.it/index.php?xsl=5&s=3156&v=2&c=3001&t=1;372;40.424061409875;8.99555122395995
BONO;SASSARI;Sardegna;Sos Nibberos;Monumenti naturali;Monumenti naturali;;1265;40.4241688259869;8.99566207951574
BONORVA;SASSARI;Sardegna;Bonorva;Città e paesi;Paese;http://www.comunas.it/xml/comune.php?istat=090013;55;40.4172839438403;8.76919247843806
BONORVA;SASSARI;Sardegna;Chiesa della Nativita' di Maria;Chiese;Chiese;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18348;399;40.4178652590202;8.77058139663066
BONORVA;SASSARI;Sardegna;Chiesa di San Lorenzo di Rebeccu;Chiese;Chiese;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17784;505;40.4241221232236;8.80054959756984
BONORVA;SASSARI;Sardegna;Chiesa rupestre e affreschi di Sant'Andrea Priu;Chiese;Chiese;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18045;563;40.421597015863;8.84732009136397
BONORVA;SASSARI;Sardegna;Fonte  Su Lumarzu;Spazi sacri e funerari;Templi nuragici;http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=21393;1479;40.4227470594212;8.81301990778386
